연도,구단,경기수,승수,방어율,선발 방어율,구원 방어율,세이브,탈삼진수,투구이닝,9이닝당 탈삼진수,투구수,타자수,피안타수,피홈런,사구,사사구,고의사구,실점,자책점,완투,완봉,무사사구,피안타율,QS비율,WHIP,UC타수,UC피안타,UC타율,UC피홈런,홀드
17,6:롯데,143,54,4.22,4.12,4.44,27,939,1264,0.08,"21,872","5,512","1,293",143,474,48,12,647,593,11,1,3,0.26,51.05%,1.4,"2,130",568,0.267,64,89
16,1:히로시마,143,89,3.39,3.71,2.77,36,"1,035",1290,0.09,"21,580","5,446","1,182",92,473,26,3,540,486,4,2,1,0.239,58.04%,1.28,"2,214",544,0.246,40,114
16,2:거인,143,71,3.3,3.66,2.68,38,"1,223",1285,0.11,"21,489","5,446","1,178",92,445,62,3,528,472,4,1,0,0.239,47.55%,1.26,"2,165",536,0.248,34,129
16,3:DeNA,143,69,3.81,3.76,3.92,35,"1,117",1286,0.1,"21,984","5,482","1,202",128,478,45,14,598,545,5,3,0,0.243,49.65%,1.31,"2,123",524,0.247,54,137
16,4:한신,143,64,3.32,3.26,3.42,31,"1,083",1276,0.09,"20,823","5,312","1,182",116,358,50,5,504,470,9,6,4,0.241,58.74%,1.21,"2,037",498,0.244,57,57
16,5:야쿠르트,143,64,4.06,4.1,3.99,37,949,1281,0.08,"21,781","5,498","1,231",127,491,65,4,623,578,6,2,0,0.249,50.35%,1.34,"2,428",565,0.233,57,98
16,6:중일,143,58,4.23,4.16,4.35,18,"1,011",1261,0.09,"21,350","5,435","1,271",157,417,45,14,653,592,6,2,1,0.256,48.95%,1.34,"2,070",551,0.266,66,85
16,1:일본햄,143,87,3.23,3.46,2.8,58,"1,203",1276,0.1,"21,456","5,284","1,062",134,450,52,1,483,458,4,2,1,0.222,49.65%,1.18,"2,067",449,0.217,45,125
16,2:소프트뱅크,143,83,3.54,3.64,3.34,29,967,1269,0.08,"20,825","5,328","1,169",125,396,53,7,560,499,10,7,1,0.24,51.05%,1.23,"1,930",493,0.255,54,86
16,3:롯데,143,72,3.34,3.35,3.32,41,"1,144",1280,0.1,"21,432","5,341","1,140",115,401,49,6,528,475,13,3,2,0.233,55.94%,1.2,"2,279",550,0.241,41,104
16,4:세이부,143,64,3.83,3.88,3.75,35,"1,015",1275,0.09,"21,405","5,393","1,214",124,425,33,8,598,543,13,5,3,0.246,50.35%,1.29,"2,163",568,0.263,63,92
16,5:라쿠텐,143,62,3.82,4.2,3.16,31,968,1266,0.08,"21,120","5,446","1,246",147,430,38,13,596,537,6,2,3,0.251,38.46%,1.32,"2,094",541,0.258,72,114
16,6:오릭스,143,57,4.22,4.12,4.44,27,939,1264,0.08,"21,872","5,512","1,293",143,474,48,12,647,593,11,1,3,0.26,51.05%,1.4,"2,130",568,0.267,64,89
15,1:야쿠르트,143,76,3.31,3.68,2.67,42,935,1272,6.61,"20,733","5,355","1,204",112,416,48,13,518,468,3,3,1,0.247,51.05%,1.27,"2,120",532,0.251,56,105
15,2:거인,143,75,2.78,2.81,2.71,43,992,1271,7.02,"20,257","5,214","1,096",99,365,39,10,443,393,11,5,2,0.228,60.84%,1.15,"2,503",590,0.236,51,78
15,3:한신,143,70,3.47,3.2,4.16,42,"1,090",1272,7.71,"21,425","5,448","1,230",94,445,44,7,550,491,10,6,2,0.248,60.14%,1.32,"2,393",579,0.242,36,68
15,4:히로시마,143,69,2.93,2.96,2.86,36,"1,010",1286,7.07,"21,224","5,379","1,174",74,416,35,3,474,419,9,1,1,0.238,66.43%,1.24,"2,519",624,0.248,39,71
15,5:중일,143,62,3.19,3.28,3.01,34,966,1279,6.8,"21,083","5,373","1,169",91,416,41,9,504,453,9,4,1,0.238,58.74%,1.24,"2,457",611,0.249,42,93
15,6:DeNA,143,62,3.8,4,3.44,40,"1,003",1267,7.12,"21,599","5,493","1,298",113,456,29,8,598,535,7,1,2,0.26,50.35%,1.38,"2,260",616,0.273,49,88
15,1:소프트뱅크,143,90,3.16,3.31,2.83,44,"1,129",1299,7.82,"21,500","5,398","1,137",113,422,51,5,491,456,10,4,2,0.231,63.64%,1.2,"2,177",515,0.237,46,103
15,2:일본햄,143,79,3.62,3.86,3.19,39,993,1276,7,"21,295","5,447","1,186",101,466,58,5,581,514,11,4,2,0.241,45.45%,1.29,"2,018",499,0.247,39,94
15,3:롯데,143,73,3.69,4.02,3.11,41,926,1264,6.59,"21,550","5,429","1,292",101,422,54,6,563,519,5,3,2,0.261,50.35%,1.36,"2,104",569,0.27,46,93
15,4:세이부,143,69,3.69,3.82,3.49,30,873,1265,6.21,"21,707","5,411","1,172",104,472,70,15,573,519,9,1,0,0.241,52.45%,1.3,"1,992",488,0.245,43,89
15,5:오릭스,143,61,3.59,3.45,3.85,30,955,1263,6.8,"21,397","5,401","1,204",103,461,50,15,548,504,7,4,0,0.247,57.34%,1.32,"2,155",543,0.252,41,69
15,6:라쿠텐,143,57,3.82,3.89,3.73,36,"1,023",1287,7.15,"21,923","5,570","1,302",113,446,49,10,612,547,4,1,1,0.257,54.55%,1.36,"2,412",641,0.266,60,105
